unidad_educativa,area,municpio,zona,direccion,lat,lon
UE.TH 27 DE MAYO,Rural,Tiraque,KAYARANI,KAYARANI KM. 86 CARRETERA ANTIGUA A SANTA CRUZ,-17.47660065,-65.52194214
26 DE febrero,Urbana,Tiquipaya,VILLA 26 DE FEBRERO,CHILIMARCA,-17.32850075,-66.20281982
6 DE agosto,Rural,Pocona,LOPE MENDOZA ALTO,LOPE MENDOZA ALTO,-17.53079987,-65.38308716
ABAROA A,Urbana,Cochabamba,CENTRAL,AVENIDA AYACUCHO NRO 336 ENTRE SANTIVAÑEZ Y JORDAN,-17.39520073,-66.15866089
ADELA ZAMUDIO,Urbana,Cochabamba,CALA CALA,CALLE ENRIQUE ARZE Nro 2105,-17.37204242,-66.16591482
AGUA VIVA DE LA ROCA,Urbana,Vinto,21 DE SEPTIEMBRE,CALLE 21 DE SEPTIEMBRE,-17.39450073,-66.31280518
AISB,Urbana,Tiquipaya,LINDE,AVENIDA TAQUIÑA KM. 1 1/2,-17.35499954,-66.20220947
AMOR DE DIOS,Urbana,Cochabamba,SUD SAN CARLOS,AV. REPUBLICA Nro 1545,-17.40701814,-66.15031457
ANDRÉS MORENO SILES,Rural,Anzaldo,TIJRASKA,TIJRASKA,-17.77400017,-65.9625473
BEPO VAVASSORI,Urbana,Tiquipaya,CIUDAD DEL NIÑO,CALLE PADRE BERTA Y PORVENIR S/N,-17.34237633,-66.19146018
BOLIVAR,Urbana,Cochabamba,SUD ESTE CENTRAL,SUCRE Nro 561,-17.39369965,-66.15351868
BOLIVIA A - TURNO TARDE,Urbana,Cochabamba,CENTRAL,ECUADOR Nro 179 ESQUINA BAPTISTA,-17.39019966,-66.15870667
BOLIVIA HOLANDA,Urbana,Cochabamba,K'ASA HUASA,BARRIO K'ASA HUASA,-17.47511951,-66.14753633
BOLIVIANO ALEMAN,Rural,Villa Rivero,CENTRAL,PLAZA GUALBERTO VILLARROEL,-17.6154995,-65.80992889
BRASIL B,Urbana,Cochabamba,CENTRAL,AVENIDA AYACUCHO ESQUINA PUNATA Nro 105,-17.40162611,-66.15727562
BUENA VISTA LIBERTAD A,Urbana,Cochabamba,CIUDAD COCHABAMBA,S/N FINAL AV. PANAMERICANA - ALTO BUENA VISTA,-17.46859932,-66.15802765
"BUENAS NUEVAS ""D""",Urbana,Cochabamba,HUAYRA K ASSA,AV. SUECIA Nro 1170,-17.41889954,-66.14588928
CALAMA,Urbana,Quillacollo,VILLA MODERNA,AV. CONSTANTINO MORALES Nro 13,-17.41183085,-66.27164214
CANAAN,Urbana,Cochabamba,CIUDAD COCHABAMBA,AV. VALLE HERMOSO ESQUINA CALLE HUANCHACA S/N,-17.43993075,-66.12326346
CARMEN ORRUEL DE VERDUGUEZ,Urbana,Cochabamba,VILLA MOSCU,AVENIDA MONTEAGUDO FINAL,-17.36575496,-66.14838022
CARPANI,Rural,Bolivar,CARPANI,CARPANI,-17.94038516,-66.57238281
CEFERINO NAMUNCURA,Urbana,Cochabamba,ALBA RANCHO,ALBA RANCHO,-17.44265317,-66.22862649
CHAPISIRCA,Urbana,Tiquipaya,CHAPISIRCA,CHAPISIRCA,-17.14789963,-66.1440506
CHIMBOCO,Urbana,Sacaba,CHIMBOCO,CHIMBOCO A 5 KM. AL NORTE DE SACABA,-17.38714134,-66.04029584
COBIJA,Urbana,Cochabamba,CENTRAL,ECUADOR Nro 179 ESQUINA BAPTISTA,-17.39019966,-66.15870667
"COLEGIO CALA CALA ""MAGIC KIDS""",Urbana,Cochabamba,CALA CALA,PASOSKANKI 120,-17.37080002,-66.16235352
COLEGIO CALIFORNIA,Urbana,Cochabamba,TUPURAYA,AV. AMERICA ESTE. Nro 1152,-17.37380028,-66.14640808
COLEGIO PATRIA NUEVA,Urbana,Cochabamba,SUR EL PALMAR,CALLE EUCALIPTOS,-17.44280052,-66.19038391
COLEGIO SAN MARTÍN DE PORRES PARTICULAR,Urbana,Quillacollo,CENTRAL,BALLIVIAN 22 ENTRE COCHABAMBA Y 14 DE SEPTIEMBRE,-17.396734,-66.28044381
COLEGIO TIQUIPAYA,Urbana,Tiquipaya,ECOLOGICA,TIQUIPAYA AV. ECOLOGICA S/N,-17.34449959,-66.20763397
CONSTANTINO I,Urbana,Tiquipaya,MOLLE MOLLE,CALLE INNOMINADA POR AV. CHAPICIRCA,-17.34639931,-66.19364929
"CRISTINA PRADO ""B""",Urbana,Quillacollo,NORTE,23 DE MARZO S/N Y CARMELA CERRUTO,-17.39257137,-66.2788841
DOMITILA BARRIOS CUENCA,Urbana,Sacaba,GUADALUPE,CIRCUNVALACION KM 6,-17.37902837,-66.07850432
DON BOSCO PUNATA,Rural,,,,-17.5442098,-65.83705709
DR FELIX CAPRILES,Urbana,Cochabamba,CENTRAL,CHIMBA ENTRE GASPAR MIGUEL Y CECILIO G. DE ROJAS,-17.40819931,-66.18223572
DR. ENRIQUE SANCHEZ DE LOZADA IRIGOYEN,Urbana,Cochabamba,VALLE HERMOSO,FELIX LOPE DE VEGA S/N,-17.36142844,-66.15895939
DR. VALENTIN ACHA,Urbana,Quillacollo,ILLATACO,UBICADO A 3 KM. DE QUILLACOLLO CALLE BENI S/N,-17.38823668,-66.29548966
EDUARDO OCAMPO MOSCOSO,Urbana,Cochabamba,SUD,MAIRANA ENTRE ÑUFLO DE CHAVEZ,-17.4150272,-66.15046763
EJERCITO COCHABAMBA,Urbana,Cochabamba,MUYURINA,AVENIDA RAMON RIVERO S/N,-17.37960052,-66.14640808
EL MOLINO,Urbana,Cochabamba,SUD,AV. PETROLERA KM. 4 1/2,-17.44336701,-66.13610327
ELIZARDO PEREZ,Urbana,Sacaba,CATACHILLA,VILLA CLOTILDE,-17.41189957,-65.99226379
ELIZARDO PÉREZ DE AZAHUANI,Rural,Tapacarí,LEQUE,CMD. AZAHUANI,-17.52510071,-66.77682495
ESCLAVAS DEL SAGRADO CORAZON DE JESUS,Urbana,Cochabamba,MUYURINA,AVENIDA VILLAZON,-17.37610054,-66.13722992
FAUSTINO SUAREZ ARNEZ,Rural,Aiquile,OESTE,AV. SAN SIMON ESQUINA AV. TERAN,-18.20079198,-65.18360156
FERROVIARIA MAX FERNÁNDEZ ROJAS,Urbana,Colcapirhua,SUMUMPAYA,AV. BLANCO GALINDO KM 8 DETRAS EL PSIQUIATRICO,-17.39568127,-66.23137087
FRANCISCO GONZALES PRADA,Urbana,Cochabamba,LA CHIMBA,WALDO ROCHA Y CAPITAN VICTOR USTARIZ,-17.39620018,-66.16889954
FRANCISCO JAVIER BALDIVIESO LUNA,-,Cochabamba,VALLE HERMOSO,,-17.46660042,-66.11313629
FRANZ TAM.,Urbana,Sacaba,CHIÑATA,CHIÑATA KM. 27 CARRETERA COCHABAMBA SANTA CRUZ,-17.4022007,-65.98046875
FRANZ TAMAYO,Urbana,Quillacollo,VILLA MODERNA,AV. SUAREZ MIRANDA Nro 515,-17.38847088,-66.28052561
FRANZ TAMAYO DE LLAVINI,Rural,Tapacarí,LLAVINI,LLAVINI,-17.66570091,-66.40999603
GERARDO VARGAS VIDAL,Urbana,Cochabamba,VALLE HERMOSO,MONSEÑOR ARNULFO ROMERO Y MARTIN LUTHER K,-17.44000053,-66.1284256
GERÓNIMO DE OSORIO,Urbana,-,-,-,-17.39649963,-66.18643951
GUADALUPE,Urbana,Sacaba,GUADALUPE,GUADALUPE KM. 8 1/2 CARRETERA A SACABA NORTE,-17.37969971,-66.08279419
HUGHES SCHOOLS,Urbana,Sacaba,PUNTITI,AVENIDA OCTAVA KM. 6 CARRETERA A SACABA 3 CUADRAS,-17.38100052,-66.09702301
HUGO CHAVEZ,Urbana,Sacaba,BONANZA,FINAL CALLE SUCRE,-17.410905,-65.990303
ILURI GRANDE,Rural,Tiraque,ILURI GRANDE,ILURI GRANDE,-17.39669991,-65.82604218
ITALO BOLIVIANO,Urbana,Cochabamba,VILLA CORONILLA,AV. MANCO KAPAC Nro 1070,-17.40369987,-66.16724396
JESUS,Urbana,Cochabamba,SANTA VERA CRUZ,SANTA VERA CRUZ AVENIDA PETROLERA KM. 7S/N CARRETERA ANTIGUA A SANTA CRUZ,-17.4598999,-66.12439728
JESÚS TERCEROS SILES,Urbana,Sacaba,,CALLE ARGENTINA Nro 270 URBANIZACION SAN PEDRO,-17.38599968,-66.12047577
JORGE CABRERA ACUÑA,Urbana,Cochabamba,VILLA FELICIDAD,AVENIDA REPUBLICA FINAL,-17.41593253,-66.15141106
JOSE BRAULIO PEREIRA,Rural,San Benito,VILLA MENDOZA,SAN BENITO,-17.52326948,-65.89723849
JOSE NABOR QUINTANA NAVIA,Rural,Aiquile,VILLA GUADALUPE,VILLA GUADALUPE,-18.21437087,-65.18695079
JUANA AZURDUY DE PADILLA,Urbana,Cochabamba,CENTRAL,JUNIN Nro 113,-17.39220047,-66.16042328
JULIO DARIO DAZZI,Rural,Arque,WAYCHA,WAYCHA,-17.89413649,-66.32395058
KOARI,Rural,Tiraque,KOARI MEDIO,CARRETERA ANTIGUA A SANTA CRUZ KM. 80,-17.47920036,-65.57610321
LA EDAD DE ORO,Urbana,Cochabamba,NORTE,AV. JUAN DE LA ROSA ENTRE AV. MELCHOR PEREZ Y AV. BEIJIN Nº 0-1433,-17.36777252,-66.15668802
LA SALLE,Urbana,Cochabamba,CENTRAL,JUNIN 200,-17.38945167,-66.16070914
LATINOAMERICANA,Rural,Punata,SACA SACA,AV. RUBEN FERRUFINO S/N,-17.55374082,-65.85230827
LATINOAMÉRICANO,Urbana,Cochabamba,CENTRAL,CALLE URUGUAY Nro 836,-17.3975384,-66.1495256
LIBERTAD,Urbana,Tiquipaya,CIUDAD DEL NIÑO,CALLE PORVENIR S/N,-17.34600067,-66.19312286
MADRE DE LA DIVINA PROVIDENCIA,Urbana,Cochabamba,ZONA SUR CIUDAD DE COCHABAMBA,CALLE RIO BERMEJO - S/N- VILLA ARMONIA - ZONA SUR,-17.439458,-66.149714
MANUEL ASCENCIO VILLARROEL,Rural,Punata,OESTE,GENERAL PANDO,-17.54570007,-65.84317017
MARCELO QUIROGA SANTA CRUZ SACABA FISCAL,Urbana,Sacaba,PACATA CENTRAL,DIEGO MOSQUERA,-17.37627127,-66.11839681
"MARCELO QUIROGA SANTA CRUZ ""B"" SACABA",Urbana,Sacaba,SACABA,AVENIDA VILLAZON KM. 5,-17.38702213,-66.10192804
MARCELO QUIROGA SANTA CRUZ ARQUE,Rural,Arque,TUJSUMA,TUJSUMA,-17.90473399,-66.39858036
